SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
EASTERN LIQUOR DISTRIBUTORS INC,860.5100000000003,959.0100000000001,768.0
ELITE WINES IMPORTS,238.15999999999983,223.17,3989.26
ELK RUN VINEYARDS,178.34,140.82,93.17
EVEREST SPIRITS LLC,40.07,31.490000000000002,0.0
EXCELSIOR WINE COMPANY LLC,7360.949999999998,8332.67,9829.63
FAR NIENTE WINERY INC,6.539999999999999,8.0,1.0
FAROPIAN SPIRITS LTD,0.16,1.0,13.0
FERRARI CARANO WINERY,254.38,233.50999999999996,115.0
FETZER VINEYARDS,2337.2499999999986,2635.1800000000003,1292.0
FIFTH GENERATION INC,12993.55,14158.369999999999,2155.25
FIORE WINERY,0.16,0.0,0.0
FIVE GRAPES LLC,35.62999999999999,34.0,160.0
FLAVOR SEEKERS LLC,2.3399999999999994,0.0,0.0
FLYING DOG BREWERY LLLP,10301.08,11862.88,47227.219999999994
FN CELLARS LLC,40.030000000000015,44.0,30.0
FOLEY FAMILY WINES INC,11.490000000000002,16.92,0.0
FOWLES WINE USA INC,0.0,0.0,27.0
FRANCIS COPPOLA WINERY LLC,3267.6599999999994,3616.4000000000015,1668.7600000000002
FRANK LIN MD,30.180000000000007,25.67,0.0
FREDERICK P WINNER LTD,121.77,158.0,379.96
FREDERICK WILDMAN & SONS,167.98,173.92000000000002,97.0
FREE RUN WINE MERCHANTS LLC,1.63,1.0,111.92
FREELANCE WINES LLC,0.0,0.0,0.0
FREIXENET USA,2722.6499999999987,2915.42,1926.92
FRITZ IMPORTS LLC,15.610000000000001,11.0,0.0
FRONT PORCH MICRO WINERY LLC,114.54999999999993,148.84,6.0
FRUIT OF THE VINES INC,181.1,188.93999999999997,17.0
FX MATT BREWING CO,145.5,148.0,214.0
GAMBRINUS,874.4299999999998,984.0,3196.42
GATOR RON'S LLC,0.17,0.0,0.0
GEORGIAN HOUSE OF GREATER WASHINGTON,10.49,8.0,8.0
"GF WINES, LLC DBA GARY FARRELL WINERY",24.779999999999998,19.84,8.0
GLOBAL OCEAN AND AIR CARGO SERVICES,144.55000000000004,171.5,837.6700000000001
GOOSE RIDGE LLC,9.710000000000003,-0.08,206.0
GRAIL POINT BREWERY LLC,0.0,0.0,15.0
GRAND ENCLOS DU CHATEAU DE CERONS,9.110000000000001,-0.08,0.0
GRAPES & BARLEY LLC,166.21000000000004,149.66999999999996,2362.42
GRAPES OF SPAIN INC,464.5500000000001,471.6,3041.34
GROTH VINEYARDS & WINERY,25.369999999999994,35.0,1.0
HAMCO DC,0.0,247.0,0.0
HARVEST IMPORTING LLC,4.75,2.0,166.0
HEAVEN HILL DISTILLERIES INC,18462.940000000002,20059.329999999994,2904.4300000000003
HEIMBUCH ESTATE VINEYARDS AND WINERY LLC,2.1799999999999997,-0.83,0.0
HEINEKEN USA,20923.170000000002,23004.25,318812.59
HOME BREW MART INC,332.21999999999997,356.0,1104.21
HONIG VINEYARD AND WINERY,99.19000000000001,98.92,142.0
IMPERO WINE DISTRIBUTORS VIRGINIA INC,0.0,0.0,120.0
