ITEM CODE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
10491,3.8200000000000003,4.0,0.0
10493,0.0,0.0,45.0
104949,0.0,0.0,5.0
10495,0.0,0.0,17.0
10496,0.0,0.0,0.0
104973,0.0,0.0,3.0
10499,18.99,15.0,0.0
105,175.79999999999998,151.0,0.0
105023,0.0,0.0,13.0
105031,0.0,0.0,3.0
105112,0.0,0.0,3.0
10529,506.77000000000004,544.64,1.0
10538,0.0,0.0,2.0
105392,0.0,0.0,3.0
105422,0.0,0.0,2.0
10545,18.659999999999997,6.0,0.0
105490,29.72,32.0,11.0
105520,1.2900000000000003,1.0,8.0
10558,0.0,0.0,1.0
10561,0.0,0.0,17.0
10565,0.0,0.0,1.0
105651,0.0,0.0,5.0
10574,0.0,0.0,4.0
10579,0.0,0.0,1.0
1058,63.7,75.0,107.0
10585,0.0,0.0,1.0
10586,0.0,0.0,39.0
10593,0.0,0.0,29.0
105937,0.28,1.0,40.0
106,13.399999999999999,16.0,0.0
10600,0.0,0.0,1.0
10603,1.7999999999999998,1.0,9.0
10605,0.0,0.0,11.0
10606,5.91,-0.17,0.0
10607,5.26,0.0,0.0
10608,4.76,0.0,0.0
10609,4.75,12.0,128.75
10610,27.659999999999997,30.0,40.0
10611,0.0,0.0,2.0
10612,0.0,0.0,2.0
106127,0.0,0.0,4.0
10615,0.04,0.0,0.0
10617,0.0,0.0,1.0
10627,0.0,0.0,2.0
10632,0.0,0.0,12.0
10634,87.14999999999999,92.0,6.0
10636,18.080000000000002,19.0,1.0
10637,73.91,81.0,72.0
10638,12.0,8.5,21.0
10643,0.0,0.0,2.0
106437,0.49,0.0,0.0
10645,0.75,3.0,0.0
10646,9.75,10.0,57.75
10647,0.67,2.0,24.0
106518,0.0,0.0,9.0
106577,3.8100000000000005,2.0,10.0
10659,0.0,0.0,6.0
10660,0.0,0.0,2.0
10662,0.5,0.0,5.0
10665,41.32,36.0,1.0
10666,6.0,2.0,1.0
10667,11.71,12.0,0.0
106674,0.0,0.0,2.0
10668,214.23,244.0,2.0
10669,6.109999999999999,1.0,0.0
10670,15.97,4.0,0.0
106704,6.03,2.0,0.0
10671,1.02,0.0,0.0
10672,13.91,2.0,0.0
10673,12.58,2.0,0.0
106739,1.2100000000000002,1.0,2.0
10674,14.26,6.0,0.0
10675,10.709999999999999,4.83,0.0
10676,10.139999999999999,8.0,0.0
10677,11.97,9.0,0.0
10678,15.040000000000001,15.0,0.0
10684,0.0,0.0,3.0
10685,0.0,0.0,18.75
10686,0.0,0.0,7.0
106917,2.94,2.0,49.0
10693,45.75,45.0,1.0
10696,13.0,15.0,79.0
106968,0.0,0.0,18.0
10697,12.0,15.0,52.75
106984,2.77,0.0,2.0
10708,0.0,0.0,3.0
10711,151.23999999999998,160.75,563.12
107123,0.0,0.0,2.0
10713,0.0,0.0,1.0
10714,44.0,46.0,297.0
10715,3.25,7.0,1.0
107239,0.0,0.0,8.0
10728,0.0,0.0,9.0
107352,0.7999999999999999,0.0,38.0
10736,0.0,0.0,4.0
10737,19.57,9.92,22.0
10738,3.5,4.0,0.0
10740,47.190000000000005,54.0,45.0
10744,0.2,0.0,0.0
10750,0.0,0.0,1.0
10755,0.0,0.0,31.0
107557,1.3599999999999999,2.0,1.0
10756,0.0,0.0,25.0
10757,0.0,0.0,13.0
10758,62.57000000000001,64.0,25.0
10764,0.0,0.0,4.0
10765,0.0,0.0,4.0
10766,0.17,0.0,0.0
10768,0.0,0.0,16.0
10769,0.0,0.0,3.0
10771,0.0,0.0,3.0
10772,16.91,19.0,68.0
10777,0.0,0.0,1.0
10780,0.0,0.0,48.0
107816,0.0,0.0,1.0
10787,4.069999999999999,4.0,1.0
10790,5.51,4.0,9.0
10791,0.0,0.0,2.0
10792,0.0,0.0,1.0
107921,0.0,0.0,2.0
10797,0.0,0.0,26.0
107972,0.24,0.0,0.0
10799,0.0,0.0,5.0
108,0.28,0.0,0.0
10800,0.0,0.0,1.0
10802,0.0,0.0,2.0
10804,125.3,137.84,65.0
10818,0.0,0.0,2.0
10819,1.02,0.0,18.0
10820,56.230000000000004,62.92,35.0
108200,2.05,2.0,16.0
10828,0.0,0.0,7.0
10829,0.0,0.0,36.0
10832,5.27,0.0,0.0
108367,18.129999999999995,17.0,3.0
10838,0.0,0.0,3.0
108391,3.7700000000000005,5.0,2.0
10841,0.0,0.0,8.0
10844,1.53,3.0,0.0
10845,0.0,0.0,1.0
10847,11.02,10.0,2.0
10850,6.109999999999999,9.0,18.0
10851,13.079999999999998,2.66,0.0
10852,2.35,0.0,0.0
10853,1.9200000000000002,-0.04,0.0
10854,1.0,0.0,0.0
10855,8.26,10.0,4.0
10856,9.25,7.0,0.0
10857,1.36,0.0,0.0
10858,1.02,0.0,0.0
10859,50.27,55.58,36.0
108596,0.0,0.0,5.0
10860,176.25,201.92,53.92
10861,88.71000000000001,100.84,52.0
10862,98.39000000000001,118.91,0.0
10863,6.96,7.0,0.0
108634,29.1,27.0,45.0
10864,24.46,23.0,0.0
10865,21.549999999999997,15.0,0.0
10866,9.44,8.67,6.0
10867,2.53,3.0,0.0
10869,8.32,8.0,0.0
10870,7.639999999999999,4.0,0.0
108707,0.0,0.0,5.0
10872,0.0,0.0,2.0
10874,15.069999999999999,3.0,0.0
10876,0.08,1.0,1.0
108790,28.27,32.0,45.0
108804,0.0,0.0,2.0
10887,0.0,0.0,8.0
10888,0.0,0.0,10.0
108944,0.65,0.0,2.0
10898,121.00999999999999,120.0,246.0
10899,2.45,2.0,0.0
109,0.30000000000000004,0.0,0.0
10904,0.0,0.0,1.0
10905,0.0,0.0,11.0
10906,0.0,0.0,46.0
10907,198.48000000000002,220.0,20.0
10908,29.96,19.83,0.0
10909,0.0,0.0,2.0
10910,8.75,10.0,21.0
10913,0.0,0.0,19.0
109134,0.0,0.0,1.0
10914,2.0,3.0,16.0
109142,0.0,0.0,1.0
10915,2.75,3.0,14.0
10916,0.0,0.0,16.0
10919,3.6400000000000006,4.0,6.0
109193,0.0,0.0,1.0
10921,0.0,0.0,1.0
10923,0.0,0.0,2.0
10924,0.0,0.0,1.0
10925,0.0,0.0,3.0
10928,0.0,0.0,1.0
10930,18.490000000000002,39.0,0.0
10931,0.0,0.0,1919.93
10932,0.0,0.0,437.0
10934,0.0,0.0,195.0
10935,0.0,0.0,31.0
10936,0.0,0.0,168.0
10937,0.08,0.0,0.0
10938,0.0,0.0,23.0
